"SourcePath","Category","RegionUsage","AdapterPrefab","LicenseNote","Approved"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Desert pack Dungeon dunes.png","Prop","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Desert pack Needles.png","Prop","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Desert pack platforms.png","Terrain","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Desert pack shape Elements.png","Prop","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Desert pack shape fill.png","Prop","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Desert pack shape.png","Prop","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Desert trees.png","Prop","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Fog particle.png","VFX","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Foreground blur fill.png","Foreground","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Foreground blur shape.png","Foreground","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Foreground blur.png","Foreground","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Foreground dune.png","Foreground","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Sand particle.png","VFX","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Sand shape.png","Prop","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Sand.png","Prop","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Shadow.png","Prop","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Sprite shape elements.png","Prop","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/Background egg A.png","Background","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/Background egg B.png","Background","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/Background egg C.png","Background","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/Background egg D.png","Background","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/Background egg E.png","Background","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/Background egg F.png","Background","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/background.png","Background","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
